"","lambda","YEAR","RECR_TPA","MORT_TPA","REMV_TPA","RECR_PERC","MORT_PERC","REMV_PERC","RECR_TPA_SE","MORT_TPA_SE","REMV_TPA_SE","RECR_PERC_SE","MORT_PERC_SE","REMV_PERC_SE","nPlots_TREE","nPlots_RECR","nPlots_MORT","nPlots_REMV","nPlots_AREA"
"61",0.2,2008,0,0.908267847228845,0,0,3.9652336108905,0,NA,21.6963132593566,NA,NA,14.4131270867522,NA,420,0,171,0,2712
"62",0.25,2008,0,0.883299018038376,0,0,3.89560418972176,0,NA,21.058977494138,NA,NA,13.7665031581055,NA,420,0,171,0,2712
"63",0.3,2008,0,0.85680978225353,0,0,3.81035720447508,0,NA,20.4328023582566,NA,NA,13.0938570965651,NA,420,0,171,0,2712
"64",0.35,2008,0,0.828706342019704,0,0,3.70862765661884,0,NA,19.8156425664907,NA,NA,12.3967403827967,NA,420,0,171,0,2712
"65",0.4,2008,0,0.798963029052682,0,0,3.59024238199756,0,NA,19.2051151021894,NA,NA,11.6796199295026,NA,420,0,171,0,2712
"66",0.45,2008,0,0.767642807387719,0,0,3.45588193343012,0,NA,18.5986743858181,NA,NA,10.9501743389166,NA,420,0,171,0,2712
"67",0.5,2008,0,0.734912573155231,0,0,3.30717189784156,0,NA,17.9937526349294,NA,NA,10.2192970572666,NA,420,0,171,0,2712
"68",0.55,2008,0,0.701048854128255,0,0,3.14666426153325,0,NA,17.3879670382428,NA,NA,9.50070943749843,NA,420,0,171,0,2712
"69",0.6,2008,0,0.666430584441323,0,0,2.9776893417515,0,NA,16.7793907234249,NA,NA,8.81015406276308,NA,420,0,171,0,2712
"70",0.65,2008,0,0.631517935394728,0,0,2.80408979967108,0,NA,16.1668769768903,NA,NA,8.16421731264777,NA,420,0,171,0,2712
"71",0.7,2008,0,0.596819230117282,0,0,2.62987992791366,0,NA,15.5504155993029,NA,NA,7.57889428977129,NA,420,0,171,0,2712
"72",0.75,2008,0,0.562850831307632,0,0,2.45889326894022,0,NA,14.9314874490277,NA,NA,7.06804781900886,NA,420,0,171,0,2712
"73",0.8,2008,0,0.530096568795659,0,0,2.29448179118774,0,NA,14.3133701588535,NA,NA,6.64194254881074,NA,420,0,171,0,2712
"74",0.85,2008,0,0.498973173235634,0,0,2.13931140622242,0,NA,13.7013378082423,NA,NA,6.30608009763922,NA,420,0,171,0,2712
"75",0.9,2008,0,0.469806409710549,0,0,1.99527044028758,0,NA,13.1026935455533,NA,NA,6.06060511980919,NA,420,0,171,0,2712
"76",0.95,2008,0,0.44281988750915,0,0,1.86348100409709,0,NA,12.5265799379261,NA,NA,5.90051163419274,NA,420,0,171,0,2712
"77",0.05,2009,0,1.70121592739488,0,0,8.4590524708386,0,NA,20.5922262200572,NA,NA,17.6526967809332,NA,481,0,208,0,3129
"78",0.1,2009,0,1.66121829672205,0,0,8.1962119556994,0,NA,20.0045522345331,NA,NA,16.663956813312,NA,481,0,208,0,3129
"79",0.15,2009,0,1.61897950448297,0,0,7.93771780698703,0,NA,19.4360935783734,NA,NA,15.7534184710015,NA,481,0,208,0,3129
"80",0.2,2009,0,1.57431114075192,0,0,7.67935177704111,0,NA,18.8846574986482,NA,NA,14.9044656670762,NA,481,0,208,0,3129
"81",0.25,2009,0,1.52699171421543,0,0,7.41681652290696,0,NA,18.3482114532635,NA,NA,14.1019990376978,NA,481,0,208,0,3129
"82",0.3,2009,0,1.47678222642613,0,0,7.14588127575881,0,NA,17.8248145100882,NA,NA,13.3325187157105,NA,481,0,208,0,3129
"83",0.35,2009,0,1.42345289490315,0,0,6.86261668440723,0,NA,17.3125521922988,NA,NA,12.5844266636641,NA,481,0,208,0,3129
"84",0.4,2009,0,1.36682270604406,0,0,6.56373190198171,0,NA,16.8094818537544,NA,NA,11.8485621555922,NA,481,0,208,0,3129
"85",0.45,2009,0,1.30681065172198,0,0,6.24699785020783,0,NA,16.3135967345377,NA,NA,11.1189276735061,NA,481,0,208,0,3129
"86",0.5,2009,0,1.24349343357385,0,0,5.91170039388308,0,NA,15.8228178837214,NA,NA,10.3934891550154,NA,481,0,208,0,3129
"87",0.55,2009,0,1.17715985210129,0,0,5.55902539963719,0,NA,15.3350241737929,NA,NA,9.67485926511851,NA,481,0,208,0,3129
"88",0.6,2009,0,1.1083485547907,0,0,5.19225299664694,0,NA,14.8481315034681,NA,NA,8.97062294191296,NA,481,0,208,0,3129
"89",0.65,2009,0,1.03785533390813,0,0,4.81665250292884,0,NA,14.3602324676791,NA,NA,8.29307108269028,NA,481,0,208,0,3129
"90",0.7,2009,0,0.966700392341455,0,0,4.43903323892686,0,NA,13.8698062194999,NA,NA,7.65818436182957,NA,481,0,208,0,3129
"91",0.75,2009,0,0.896054924591263,0,0,4.06700562196357,0,NA,13.3760033619581,NA,NA,7.08383958313309,NA,481,0,208,0,3129
"92",0.8,2009,0,0.827137518504662,0,0,3.70810178092546,0,NA,12.8790006183253,NA,NA,6.58736853946029,NA,481,0,208,0,3129
"93",0.85,2009,0,0.761099980654088,0,0,3.36895023561974,0,NA,12.3804032965461,NA,NA,6.18278333569662,NA,481,0,208,0,3129
"94",0.9,2009,0,0.698925257698674,0,0,3.05467322463845,0,NA,11.8836502071467,NA,NA,5.87821206609136,NA,481,0,208,0,3129
"95",0.95,2009,0,0.641355863962485,0,0,2.7685941251017,0,NA,11.3943482266146,NA,NA,5.6742915484373,NA,481,0,208,0,3129
"96",0.05,2010,0,1.06470012455012,0,0,7.63278995686083,0,NA,24.3394783485672,NA,NA,17.2618455192225,NA,539,0,241,0,3535
"97",0.1,2010,0,1.09389542982377,0,0,7.63674221355255,0,NA,22.6023226866054,NA,NA,16.0627953074568,NA,539,0,241,0,3535
"98",0.15,2010,0,1.11878751690173,0,0,7.61002148171482,0,NA,21.1123106261693,NA,NA,14.9907532194471,NA,539,0,241,0,3535
"99",0.2,2010,0,1.13899909130138,0,0,7.55364797092306,0,NA,19.8273330440047,NA,NA,14.0282927746359,NA,539,0,241,0,3535
"100",0.25,2010,0,1.15410978313811,0,0,7.46759487747337,0,NA,18.7125315308312,NA,NA,13.1583637423032,NA,539,0,241,0,3535
"101",0.3,2010,0,1.16365146990582,0,0,7.35081731862851,0,NA,17.7388602355272,NA,NA,12.3643563200769,NA,539,0,241,0,3535
